City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Arraial Do Cabo,BR,77.67,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
3,Salalah,OM,71.83,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
4,Itarema,BR,84.04,moderate rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
9,Butaritari,KI,82.53,clear sky,3.0707,172.7902,Isles Sunset Lodge
11,Cape Town,ZA,72.01,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
12,La Romana,DO,81.46,few clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
13,Rikitea,PF,78.35,broken clouds,-23.1203,-134.9692,People ThankYou
14,Vanimo,PG,77.05,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
16,Nang Rong,TH,77.85,scattered clouds,14.6377,102.7914,Phanomrungpuri Boutique Hotels & Resorts
20,Dingle,PH,74.05,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
26,Cidreira,BR,79.11,light rain,-30.1811,-50.2056,Hotel Castelo
28,Hilo,US,73.62,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
31,Sao Filipe,CV,74.44,clear sky,14.8961,-24.4956,Hotel Xaguate
33,Vaini,TO,79.66,light rain,-21.2,-175.2,Keleti Beach Resort
36,Atar,MR,85.46,scattered clouds,20.5169,-13.0499,Oumou Elghoura
40,Oriximina,BR,81.03,moderate rain,-1.7656,-55.8661,Pousada Tia Amélia
41,Nueva Loja,EC,89.64,broken clouds,0.0847,-76.8828,Limoncocha Great Hotel
53,Iquique,CL,73.22,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
55,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
60,Marsh Harbour,BS,75.43,broken clouds,26.5412,-77.0636,Abaco Beach Resort
65,Ponta Do Sol,PT,70.0,overcast clouds,32.6667,-17.1,Hotel do Campo
68,Porto Velho,BR,81.25,overcast clouds,-8.7619,-63.9039,Hotel Central
70,Puerto Ayora,EC,78.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
71,Saint-Philippe,RE,80.19,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
72,Geraldton,AU,70.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
76,Meulaboh,ID,77.14,overcast clouds,4.1363,96.1285,Kost Pria
80,Vila Velha,BR,79.95,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
83,Novo Aripuana,BR,83.14,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
89,Hithadhoo,MV,82.2,broken clouds,-0.6,73.0833,Scoop Guest House
90,Kununurra,AU,78.78,broken clouds,-15.7667,128.7333,Hotel Kununurra
93,Carnarvon,AU,81.77,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
97,Nizwa,OM,70.54,clear sky,22.9333,57.5333,Orient Apartments
100,Diamantino,BR,88.63,heavy intensity rain,-14.4086,-56.4461,Hotel Delta
101,Chuy,UY,81.03,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
105,Buala,SB,80.4,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
106,Kulhudhuffushi,MV,81.34,few clouds,6.6221,73.07,Haajy Guest House 1
107,Amahai,ID,78.53,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
111,Kiunga,PG,71.83,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
114,Huarmey,PE,76.91,broken clouds,-10.0681,-78.1522,Hotel Miramar
115,Faanui,PF,79.83,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
118,Atuona,PF,78.31,light rain,-9.8,-139.0333,Villa Enata
120,Georgetown,MY,78.89,scattered clouds,5.4112,100.3354,Cititel Penang
122,Mar Del Plata,AR,73.42,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
128,Caravelas,BR,77.31,light rain,-17.7125,-39.2481,Pousada dos Navegantes
132,Pangai,TO,76.73,heavy intensity rain,-19.8,-174.35,Ha'apai Beach Resort
135,Copiapo,CL,83.91,clear sky,-27.3667,-70.3333,San Francisco de La Selva
139,Paranaiba,BR,85.62,overcast clouds,-19.6772,-51.1908,Villa Rica Park Hotel GMR
140,Santa Maria,BR,81.36,overcast clouds,-29.6842,-53.8069,Hotel Morotin
141,Neuquen,AR,76.91,broken clouds,-38.9516,-68.0591,Hotel del Comahue
146,Bambous Virieux,MU,80.22,light rain,-20.3428,57.7575,Casa Tia Villa
147,Jiwani,PK,71.64,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
149,Padang,ID,75.67,moderate rain,-0.9492,100.3543,Mercure Padang
150,Cabedelo,BR,86.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
152,Honiara,SB,78.3,overcast clouds,-9.4333,159.95,Heritage Park Hotel
156,Vao,NC,80.08,light rain,-22.6667,167.4833,Hotel Kou-Bugny
157,Saint-Joseph,RE,79.18,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
159,Melo,UY,88.09,broken clouds,-32.3667,-54.1833,Hotel Juana
166,Rosario,AR,86.95,broken clouds,-32.9468,-60.6393,"Holiday Inn Rosario, an IHG Hotel"
169,Dogbo,BJ,85.39,few clouds,6.8167,1.7833,Maison des visiteurs / auberge chez ESI ONG/ pro dogbo e.V.
177,Coahuayana,MX,87.28,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
181,Sao Joao Da Barra,BR,84.29,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
185,Cayenne,GF,86.04,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
188,Mabaruma,GY,87.13,few clouds,8.2,-59.7833,Monty Brooms Guest House
190,Kavieng,PG,82.0,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
191,Mahebourg,MU,80.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
198,Watsa,CD,76.93,overcast clouds,3.0372,29.5355,Hôtel Le Pacifique
199,Antalaha,MG,80.06,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
201,Ratnagiri,IN,70.32,scattered clouds,16.9833,73.3,Hotel Landmark
207,Atlantis,ZA,70.2,clear sky,-33.5667,18.4834,Sunrise Farm
209,Touros,BR,86.9,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
212,Namatanai,PG,79.88,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
213,Hambantota,LK,75.85,scattered clouds,6.1241,81.1185,Bungalow 63
224,Sur,OM,71.01,few clouds,22.5667,59.5289,Sur Plaza Hotel
231,Isangel,VU,76.53,overcast clouds,-19.55,169.2667,Tanna Lodge
239,Itaituba,BR,84.74,overcast clouds,-4.2761,-55.9836,Hotel Campos
240,Ombessa,CM,81.07,broken clouds,4.603,11.2565,Hotel Elma**
241,Pisco,PE,75.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
242,La Reforma,MX,70.09,clear sky,25.0833,-108.05,Hotel Reforma
248,San Felipe,VE,87.13,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
251,Kralendijk,BQ,84.18,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
253,Ahipara,NZ,71.11,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
257,Inhambane,MZ,78.01,clear sky,-23.865,35.3833,Oceano
268,Whitianga,NZ,71.02,overcast clouds,-36.8333,175.7,Beachside Resort Whitianga
269,Port Hedland,AU,84.25,broken clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
270,Kawalu,ID,72.68,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
271,Imbituba,BR,82.81,light rain,-28.24,-48.6703,Praia Hotel Imbituba
276,Aloleng,PH,78.04,scattered clouds,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
280,Valdivia,CL,71.44,broken clouds,-39.8142,-73.2459,Hostal Entre Rios
286,San Cristobal,VE,82.08,broken clouds,7.7669,-72.225,Posada Villaven C.A.
287,Kirakira,SB,80.17,overcast clouds,-10.4544,161.9205,SanBiz Lodge
