City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Upernavik,GL,72.7868,-56.1549,1.63,98,100,10.27,overcast clouds
1,Buraydah,SA,26.326,43.975,68.13,25,36,14.16,scattered clouds
2,Arraial Do Cabo,BR,-22.9661,-42.0278,77.67,88,94,13.24,overcast clouds
3,Salalah,OM,17.0151,54.0924,71.83,64,1,0.78,clear sky
4,Itarema,BR,-2.9248,-39.9167,84.04,65,100,15.23,moderate rain
5,Nogent-Le-Rotrou,FR,48.3333,1.0,42.8,85,73,7.76,broken clouds
6,Ribeira Grande,PT,38.5167,-28.7,61.2,77,40,17.27,scattered clouds
7,Tuktoyaktuk,CA,69.4541,-133.0374,-24.63,99,41,10.33,scattered clouds
8,Nicoya,CR,10.1483,-85.452,93.31,37,7,13.02,clear sky
9,Butaritari,KI,3.0707,172.7902,82.53,73,6,18.14,clear sky
10,Chukhloma,RU,58.7525,42.6825,1.62,100,96,3.62,overcast clouds
11,Cape Town,ZA,-33.9258,18.4232,72.01,53,0,8.99,clear sky
12,La Romana,DO,18.4273,-68.9728,81.46,61,14,17.16,few clouds
13,Rikitea,PF,-23.1203,-134.9692,78.35,70,66,9.55,broken clouds
14,Vanimo,PG,-2.6741,141.3028,77.05,87,90,4.14,overcast clouds
15,Luderitz,NA,-26.6481,15.1594,71.6,66,8,12.06,clear sky
16,Nang Rong,TH,14.6377,102.7914,77.85,61,28,10.54,scattered clouds
17,Torbay,CA,47.6666,-52.7314,32.58,95,100,5.01,snow
18,Pangoa,PE,-12.1167,-73.0,79.57,74,93,4.92,overcast clouds
19,Nikolskoye,RU,59.7035,30.7861,19.29,95,82,7.45,broken clouds
20,Dingle,PH,10.9995,122.6711,74.05,91,100,12.5,overcast clouds
21,Takaka,NZ,-40.85,172.8,68.56,98,100,4.9,overcast clouds
22,Ushuaia,AR,-54.8,-68.3,62.06,41,65,2.21,broken clouds
23,Jamestown,US,42.097,-79.2353,22.32,62,100,5.01,light snow
24,Port Elizabeth,ZA,-33.918,25.5701,68.09,82,75,4.61,broken clouds
25,Wick,GB,58.4333,-3.0833,35.35,86,75,19.57,broken clouds
26,Cidreira,BR,-30.1811,-50.2056,79.11,75,88,7.38,light rain
